name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
PW Jarvis,1988-1993,16,8,2,31,16*,79.48,0,0,2,England
GJ Batty,2002-2009,10,8,2,30,17,41.09,0,0,1,England
BL D'Oliveira,1971-1972,4,4,1,30,17,69.76,0,0,0,England
EE Hemmings,1982-1991,31,12,6,30,8*,49.18,0,0,1,England
CJ Jordan,2013-2014,7,5,3,30,14,63.82,0,0,0,England
MS Panesar,2007-2007,26,8,3,26,13,28.57,0,0,0,England
JWA Taylor,2011-2013,2,2,0,26,25,52,0,0,0,England
RJ Blakey,1992-1993,3,2,0,25,25,50,0,0,1,England
MR Benson,1986-1986,1,1,0,24,24,41.37,0,0,0,England
DW Headley,1996-1999,13,6,4,22,10*,44.89,0,0,1,England
CM Wells,1985-1985,2,2,0,22,17,50,0,0,0,England
RA Woolmer,1972-1976,6,4,0,21,9,45.65,0,0,1,England
AP Igglesden,1994-1994,4,3,1,20,18,64.51,0,0,1,England
JW Dernbach,2011-2013,23,8,1,19,5,48.71,0,0,1,England
AG Wharf,2004-2005,12,5,3,19,9,67.85,0,0,1,England
SG Borthwick,2011-2011,2,2,0,18,15,112.5,0,0,0,England
MJ Hoggard,2001-2006,26,6,2,17,7,56.66,0,0,1,England
P Lever,1971-1975,8,3,2,17,8*,70.83,0,0,0,England
CEW Silverwood,1996-2001,7,4,0,17,12,50,0,0,1,England
RL Johnson,2003-2003,9,4,1,16,10,80,0,0,1,England
PJW Allott,1982-1985,13,6,1,15,8,60,0,0,2,England
DM Smith,1986-1990,2,2,1,15,10*,37.5,0,0,0,England
PCR Tufnell,1990-1997,20,10,9,15,5*,48.38,0,0,0,England
AP Wells,1995-1995,1,1,0,15,15,150,0,0,0,England
AR Butcher,1980-1980,1,1,0,14,14,53.84,0,0,0,England
G Chapple,2006-2006,1,1,0,14,14,200,0,0,0,England
BW Luckhurst,1975-1975,1,1,0,14,14,24.13,0,0,0,England
NG Cowans,1983-1985,23,8,3,13,4*,44.82,0,0,3,England
GW Humpage,1981-1981,3,2,0,11,6,45.83,0,0,0,England
TR Ambrose,2008-2008,4,4,1,9,6,32.14,0,0,1,England
DE Malcolm,1990-1994,10,5,2,9,4,81.81,0,0,1,England
SP Fleming,1994-2007,264,261,20,7929,134*,71.42,8,49,16,New Zealand
NJ Astle,1995-2007,211,211,14,6922,145*,72.67,16,40,19,New Zealand
BB McCullum,2002-2014,216,195,27,5079,166,90.9,4,25,17,New Zealand
CL Cairns,1991-2006,206,190,24,4842,115,83.85,4,25,9,New Zealand
MD Crowe,1982-1995,139,138,18,4632,107*,72.21,4,33,3,New Zealand
